geo_code,region,country
W06000016,Wales,Wales
S12000013,Scotland,Scotland
W06000013,Wales,Wales
E07000138,East Midlands,England
E07000166,Yorkshire and The Humber,England
E07000105,South East,England
95JJ,Northern Ireland,Northern Ireland
W06000022,Wales,Wales
E08000034,Yorkshire and The Humber,England
E07000126,North West,England
S12000006,Scotland,Scotland
E09000023,London,England
E06000018,East Midlands,England
E09000028,London,England
E07000133,East Midlands,England
E07000219,West Midlands,England
95DD,Northern Ireland,Northern Ireland
E07000097,East,England
E06000039,South East,England
E07000199,West Midlands,England
E07000173,East Midlands,England
E07000082,South West,England
E06000034,East,England
W06000019,Wales,Wales
E09000025,London,England
S12000046,Scotland,Scotland
E06000027,South West,England
E09000024,London,England
E07000030,North West,England
E06000017,East Midlands,England
E07000209,South East,England
E07000188,South West,England
E06000035,South East,England
E09000029,London,England
E07000148,East,England
S12000038,Scotland,Scotland
E06000006,North West,England
E07000177,South East,England
E07000081,South West,England
E09000019,London,England
E07000119,North West,England
95FF,Northern Ireland,Northern Ireland
E07000226,South East,England
E06000013,Yorkshire and The Humber,England
E07000108,South East,England
E06000014,Yorkshire and The Humber,England
95HH,Northern Ireland,Northern Ireland
E06000016,East Midlands,England
E07000062,South East,England
E07000010,East,England
E08000020,North East,England
E41000052,South West,England
W06000015,Wales,Wales
E07000026,North West,England
E08000024,North East,England
E07000050,South West,England
E07000218,West Midlands,England
E07000099,East,England
E07000103,East,England
E08000017,Yorkshire and The Humber,England
S12000045,Scotland,Scotland
E07000120,North West,England
E06000054,South West,England
E07000234,West Midlands,England
E07000101,East,England
W06000006,Wales,Wales
E07000072,East,England
S12000040,Scotland,Scotland
E09000011,London,England
E07000048,South West,England
E07000220,West Midlands,England
E07000141,East Midlands,England
E07000216,South East,England
W06000023,Wales,Wales
S12000019,Scotland,Scotland
E08000022,North East,England
E07000221,West Midlands,England
E06000030,South West,England
E06000055,East,England
E08000018,Yorkshire and The Humber,England
S12000015,Scotland,Scotland
E06000001,North East,England
E07000132,East Midlands,England
E07000121,North West,England
E06000024,South West,England
E07000190,South West,England
E07000189,South West,England
E07000075,East,England
E06000045,South East,England
W06000010,Wales,Wales
E07000052,South West,England
E09000006,London,England
95XX,Northern Ireland,Northern Ireland
E06000020,West Midlands,England
E07000196,West Midlands,England
E07000115,South East,England
95MM,Northern Ireland,Northern Ireland
E07000033,East Midlands,England
E07000222,West Midlands,England
E07000035,East Midlands,England
S12000030,Scotland,Scotland
E07000198,West Midlands,England
E08000008,North West,England
E07000041,South West,England
95QQ,Northern Ireland,Northern Ireland
E07000047,South West,England
W06000012,Wales,Wales
E06000056,East,England
E07000197,West Midlands,England
S12000018,Scotland,Scotland
E08000030,West Midlands,England
E07000208,South East,England
E06000047,North East,England
95ZZ,Northern Ireland,Northern Ireland
W06000005,Wales,Wales
E06000051,West Midlands,England
W06000003,Wales,Wales
E07000201,East,England
E07000153,East Midlands,England
E07000125,North West,England
E09000016,London,England
E09000017,London,England
E07000070,East,England
E06000048,North East,England
E41000324,London,England
E07000168,Yorkshire and The Humber,England
E07000112,South East,England
E07000174,East Midlands,England
E07000095,East,England
E07000203,East,England
E07000142,East Midlands,England
W06000011,Wales,Wales
E06000038,South East,England
E06000008,North West,England
S12000023,Scotland,Scotland
S12000034,Scotland,Scotland
E07000066,East,England
E07000205,East,England
E07000217,South East,England
E07000128,North West,England
E06000023,South West,England
E06000025,South West,England
E07000084,South East,England
E07000131,East Midlands,England
S12000010,Scotland,Scotland
E07000012,East,England
E07000063,South East,England
E08000031,West Midlands,England
E09000004,London,England
E07000117,North West,England
E06000036,South East,England
E06000009,North West,England
E07000088,South East,England
95EE,Northern Ireland,Northern Ireland
W06000024,Wales,Wales
E07000109,South East,England
E07000104,East,England
E08000007,North West,England
95NN,Northern Ireland,Northern Ireland
E07000089,South East,England
95TT,Northern Ireland,Northern Ireland
E06000003,North East,England
95RR,Northern Ireland,Northern Ireland
E08000009,North West,England
E07000106,South East,England
E07000143,East,England
W06000002,Wales,Wales
E07000156,East Midlands,England
E07000029,North West,England
E09000020,London,England
E08000002,North West,England
95KK,Northern Ireland,Northern Ireland
95CC,Northern Ireland,Northern Ireland
E07000227,South East,England
E09000009,London,England
E07000210,South East,England
E07000065,South East,England
E06000011,Yorkshire and The Humber,England
E07000191,South West,England
E07000042,South West,England
E06000033,East,England
E07000037,East Midlands,England
E08000005,North West,England
W06000001,Wales,Wales
E07000034,East Midlands,England
S12000039,Scotland,Scotland
E07000090,South East,England
E07000137,East Midlands,England
E09000027,London,England
E07000151,East Midlands,England
E07000229,South East,England
E07000093,South East,England
95UU,Northern Ireland,Northern Ireland
E07000195,West Midlands,England
E09000002,London,England
E09000010,London,England
E08000010,North West,England
E08000026,West Midlands,England
E06000046,South East,England
S12000026,Scotland,Scotland
E07000213,South East,England
E07000087,South East,England
E07000079,South West,England
E07000130,East Midlands,England
E07000113,South East,England
95SS,Northern Ireland,Northern Ireland
E06000040,South East,England
E07000038,East Midlands,England
E08000028,West Midlands,England
E06000029,South West,England
E07000145,East,England
E07000129,East Midlands,England
E07000124,North West,England
95AA,Northern Ireland,Northern Ireland
E06000032,East,England
E07000175,East Midlands,England
E07000064,South East,England
E08000021,North East,England
E07000237,West Midlands,England
E07000179,South East,England
95II,Northern Ireland,Northern Ireland
E07000149,East,England
E07000187,South West,England
S12000035,Scotland,Scotland
E07000077,East,England
95GG,Northern Ireland,Northern Ireland
S12000028,Scotland,Scotland
E07000011,East,England
E07000083,South West,England
E07000127,North West,England
E06000005,North East,England
E07000008,East,England
E07000078,South West,England
E07000036,East Midlands,England
E06000037,South East,England
E07000045,South West,England
E06000044,South East,England
E09000021,London,England
E08000003,North West,England
E08000011,North West,England
E08000023,North East,England
95OO,Northern Ireland,Northern Ireland
E07000068,East,England
S12000027,Scotland,Scotland
E07000080,South West,England
W06000008,Wales,Wales
E07000224,South East,England
E07000225,South East,England
E07000111,South East,England
E07000193,West Midlands,England
E06000021,West Midlands,England
E07000004,South East,England
E09000032,London,England
E07000140,East Midlands,England
E07000031,North West,England
W06000020,Wales,Wales
E07000114,South East,England
E07000134,East Midlands,England
95LL,Northern Ireland,Northern Ireland
E08000001,North West,England
E07000200,East,England
E09000003,London,England
E07000194,West Midlands,England
E07000118,North West,England
S12000005,Scotland,Scotland
E07000102,East,England
95PP,Northern Ireland,Northern Ireland
95WW,Northern Ireland,Northern Ireland
S12000044,Scotland,Scotland
E07000150,East Midlands,England
E09000026,London,England
E06000015,East Midlands,England
E07000040,South West,England
E07000170,East Midlands,England
E07000096,East,England
E07000165,Yorkshire and The Humber,England
E07000107,South East,England
E07000122,North West,England
E09000022,London,England
E07000207,South East,England
E07000032,East Midlands,England
E06000007,North West,England
E07000092,South East,England
E07000223,South East,England
95BB,Northern Ireland,Northern Ireland
E07000176,East Midlands,England
E07000144,East,England
E07000236,West Midlands,England
E09000012,London,England
E08000027,West Midlands,England
E07000238,West Midlands,England
E07000053,South West,England
E09000014,London,England
S12000033,Scotland,Scotland
S12000042,Scotland,Scotland
E07000073,East,England
E06000050,North West,England
W06000018,Wales,Wales
E06000019,West Midlands,England
E09000031,London,England
E07000085,South East,England
E09000007,London,England
E07000152,East Midlands,England
E07000212,South East,England
W06000004,Wales,Wales
E09000030,London,England
E07000071,East,England
E06000010,Yorkshire and The Humber,England
E07000098,East,England
E08000032,Yorkshire and The Humber,England
E09000018,London,England
95YY,Northern Ireland,Northern Ireland
E09000005,London,England
E07000180,South East,England
E08000006,North West,England
S12000020,Scotland,Scotland
E07000110,South East,England
E07000204,East,England
E09000015,London,England
E07000074,East,England
E07000211,South East,England
E08000033,Yorkshire and The Humber,England
E07000027,North West,England
E07000164,Yorkshire and The Humber,England
E07000146,East,England
E07000136,East Midlands,England
E07000094,South East,England
E09000013,London,England
E06000012,Yorkshire and The Humber,England
S12000011,Scotland,Scotland
E08000004,North West,England
E06000041,South East,England
E08000036,Yorkshire and The Humber,England
W06000021,Wales,Wales
E08000029,West Midlands,England
E07000043,South West,England
E08000014,North West,England
E06000049,North West,England
E07000171,East Midlands,England
E07000239,West Midlands,England
E08000013,North West,England
E07000116,South East,England
S12000014,Scotland,Scotland
E06000026,South West,England
E06000031,East,England
E07000181,South East,England
E08000035,Yorkshire and The Humber,England
S12000036,Scotland,Scotland
S12000029,Scotland,Scotland
E07000051,South West,England
E07000005,South East,England
E09000008,London,England
W06000014,Wales,Wales
E07000039,East Midlands,England
E07000155,East Midlands,England
E06000042,South East,England
E06000002,North East,England
S12000008,Scotland,Scotland
95VV,Northern Ireland,Northern Ireland
S12000041,Scotland,Scotland
E07000006,South East,England
E07000044,South West,England
E07000007,South East,England
E07000069,East,England
E07000228,South East,England
E07000009,East,England
E07000206,East,England
E06000043,South East,England
E07000163,Yorkshire and The Humber,England
S12000021,Scotland,Scotland
E08000016,Yorkshire and The Humber,England
E07000100,East,England
E07000178,South East,England
E07000076,East,England
E07000215,South East,England
E07000135,East Midlands,England
E07000067,East,England
E08000012,North West,England
E07000091,South East,England
E08000019,Yorkshire and The Humber,England
E08000015,North West,England
E06000028,South West,England
E07000028,North West,England
E07000235,West Midlands,England
E07000123,North West,England
E07000139,East Midlands,England
S12000017,Scotland,Scotland
W06000009,Wales,Wales
E07000167,Yorkshire and The Humber,England
E06000022,South West,England
E07000192,West Midlands,England
E07000061,South East,England
E07000172,East Midlands,England
E07000202,East,England
E07000154,East Midlands,England
E07000214,South East,England
E07000086,South East,England
E07000147,East,England
E08000025,West Midlands,England
E07000049,South West,England
E07000046,South West,England
E06000004,North East,England
S12000024,Scotland,Scotland
E07000169,Yorkshire and The Humber,England

